,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Mean
0 vs 1,0.6910928509011895,0.6191602942923121,0.779113846378388,0.66983639892489,0.5702023900345461,0.558596231122744,0.5965232292508788,0.5783055078321754,0.6779156698452947,0.729986874616319,0.591544135340489,0.5213090101211724,0.559977563698353,0.3801171083092088,0.6088343650477116
0 vs 2,0.6925792441072379,0.6046723343474671,0.7610108896970755,0.6367246419392328,0.5503238839163496,0.4922558785295023,0.5472603656891359,0.5760342433509166,0.646653921366653,0.7079542553818413,0.5421370996379486,0.48464337231722093,0.5226442598767657,0.3724977554043362,0.5812422961115489
0 vs 3,0.6539117944199283,0.582391489135733,0.73200502632445,0.614186568584795,0.5394664199779164,0.5494693794508447,0.5303615845840363,0.5511633235862173,0.5929151032964242,0.7167033008210438,0.5397716624970395,0.43420710238851423,0.48181697820709296,0.32933924156881894,0.5605506410602039
0 vs 4,0.668404937698022,0.5937064905218136,0.7537964883776426,0.6170617720390968,0.5191545573120593,0.5060004605813917,0.5100973147923047,0.5462711317187271,0.6290724745207414,0.7019104170402447,0.5431353149103072,0.4705321568959946,0.5531082465271098,0.36625298572765363,0.5698931963330792
1 vs 2,0.7096976805740561,0.6583103842021666,0.7879167090997069,0.6632810157384427,0.5789685134488706,0.4541646662254496,0.5900173500160343,0.6080287661570736,0.6682926136015903,0.7601948369229181,0.567963796023554,0.5037902952803002,0.5823583593512256,0.4138837094305563,0.6104906211479959
1 vs 3,0.6721643600659631,0.6228305068469409,0.7713086993802282,0.6324913783743636,0.5907668547236714,0.5457413331895203,0.5683231902546512,0.5662930017433258,0.623103955219984,0.750846028267828,0.612757509499106,0.4842319965842212,0.535500185285233,0.43776037006186785,0.6010085263926361
1 vs 4,0.665158707933903,0.6447988073351099,0.7799711353802551,0.6290562812512825,0.5688498723512586,0.5002840097167021,0.5509949390239177,0.5733994666317899,0.6438361326433764,0.7359475991595137,0.5755966130961399,0.5410413468073024,0.5989595201703267,0.39290592644409705,0.6000571684246411
2 vs 3,0.6623223609320267,0.614274805446811,0.7504535066944718,0.6047533815479578,0.5412269939718164,0.48192001710885773,0.5244654905446677,0.5431541632966075,0.5847684804993217,0.7271898962008823,0.516202839395502,0.44878988690948307,0.5241606039933531,0.3996522157737297,0.5659524744511064
2 vs 4,0.6807161835574665,0.6125823078185431,0.7569883601719224,0.6239453554637859,0.5447163802824306,0.47422054048737977,0.5129945065729326,0.5720178962803214,0.6280826437056616,0.7133949191973302,0.5380783362950812,0.4737600636357543,0.5793541690543607,0.41742277805918726,0.580591031470154
3 vs 4,0.6340141150029267,0.6221200482827279,0.74346419775331,0.5867557619474524,0.5414409327948614,0.5124301357581172,0.4737185897301924,0.5275509578767419,0.5771794397137271,0.7124614332961136,0.5316723015857949,0.4572766633897948,0.5488054204242097,0.3817917647962003,0.560762983025155
Mean,0.6730062235192721,0.6174847468229625,0.761602885925745,0.62780925558113,0.554511679881378,0.507508265217051,0.5404756560458752,0.5642218458473897,0.6271820434412774,0.7256589560904035,0.5558859608280963,0.4819581894329758,0.548668530658803,0.38916238555756566,0.5839383303464232
