,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Mean
0 vs 1,0.4754943579907143,0.3902966475297122,0.560585949741872,0.4577993710356164,0.46767109431180276,0.4392522146055575,0.2689517567546577,0.3821137947387822,0.29173376288858227,0.33506697465294827,0.435980023636345,0.23685336659202244,0.32486196417588753,0.2497483266163278,0.37974354323363063
0 vs 2,0.44680902428088615,0.4460204115483117,0.5791401716592603,0.4513585872117301,0.42276039222291234,0.3886650254975239,0.2292365530762178,0.42376780601435693,0.26502724312913145,0.3121593404933244,0.41542831518713513,0.19071345493492506,0.31947294107773744,0.20830721092487078,0.3642047483755945
0 vs 3,0.4465170757671733,0.3649042589953824,0.5271339077641978,0.35521907576264294,0.46393732217019135,0.4360427364782072,0.18760401886464306,0.38481867621133725,0.2637400746793823,0.28558237593793734,0.3804833873183272,0.2017498443411111,0.2798134716813085,0.28215523456170827,0.3471215328952536
0 vs 4,0.5936898155796207,0.47625299314652497,0.657047731281183,0.5819993902062249,0.48156835157756306,0.5491516811043409,0.42709553671422523,0.47573795656914036,0.5003851233475559,0.43846993387884364,0.5092145662871368,0.32368204422921426,0.5033652155680536,0.38834503128549913,0.49328609791250905
1 vs 2,0.38530006597764815,0.38360404165255063,0.5070643147376758,0.4051572802579991,0.4010034519601036,0.3557223333766777,0.18143726223063134,0.3401067398933478,0.23409942183332594,0.3066688988150016,0.34796059701685184,0.13696326610101064,0.2489080429485608,0.36198221015451115,0.3282841376397069
1 vs 3,0.3892219811060011,0.3163288574148483,0.47944539962180516,0.31132208822028345,0.41858178178881716,0.36023178425145463,0.142643687622212,0.3170674545630109,0.2242020950479399,0.2587830972790628,0.3110280090570249,0.13490913298230103,0.23670949150073115,0.32002727798156394,0.3014644384597897
1 vs 4,0.4725480673193065,0.37480941124926237,0.5457242624295477,0.4646329258942117,0.41739557500802354,0.418832920786019,0.2729501354095764,0.3692281793273306,0.29920774662572774,0.3371672469849854,0.3703425154718857,0.22250618404114264,0.2922156407328176,0.2878419554155335,0.36752876904966936
2 vs 3,0.3970636850601553,0.3141365480569992,0.49378947959577973,0.34939733100794473,0.39049540710671266,0.3709124959054218,0.14248220834013098,0.3648858610332648,0.21225128178038496,0.2563578608111771,0.321767214185867,0.17640086696389437,0.2082445305942087,0.4223701965909986,0.31575392621663856
2 vs 4,0.4568457837398557,0.4038631575985452,0.5771298782760165,0.4497701596640899,0.39408233020507466,0.4037810330919337,0.24261415184115614,0.38740259525482434,0.2748815461843777,0.32574752260628526,0.3836398522973605,0.16995542083653886,0.3165303780018533,0.3592168401490337,0.3675329035533533
3 vs 4,0.4653818239876429,0.3223228365868533,0.5253627739312796,0.3554076134084746,0.3946580627148533,0.4387408080174902,0.2055862263171452,0.38767723689874545,0.26227371578639214,0.33250293491959665,0.3477998922203478,0.1783146987664884,0.29955250344716755,0.3489507307490612,0.34746656126796704
Mean,0.45288716808090046,0.37925391637789907,0.5452423869038617,0.41820638226692175,0.4252153769066055,0.41613330331146264,0.2300601537170596,0.3832806300504141,0.2827802011302801,0.3188506186379162,0.3823644372678282,0.19720482797886488,0.30296741797283255,0.3228945014429108,0.36123866586041137
