,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Mean
0 vs 1,0.5195544895436379,0.4628863435904681,0.5959888636489359,0.45591588077192835,0.508987400838041,0.43729479812774563,0.38508840373515935,0.478069556708183,0.4583318152965281,0.4641744198582933,0.49151618319432105,0.33282712756975114,0.4379808522874527,0.40513979116148585,0.4595539947379951
0 vs 2,0.5172617980939954,0.466953517737434,0.6147932547475727,0.5059405930828385,0.48284989813803686,0.41863170770334013,0.36036685930382273,0.4552402181181419,0.448881136862255,0.49441748762242027,0.4866276412514815,0.30143122096724184,0.41879181608644933,0.36307344689216714,0.45251861404337124
0 vs 3,0.5293530755482675,0.46546919734025316,0.6151861570910991,0.48852482919945384,0.5107762155164951,0.4515476382792393,0.3805584684794766,0.5117699937151904,0.47138893985902636,0.47681305020100817,0.471540256253902,0.35942818763626644,0.44403882235367664,0.3773554922994943,0.468125023126632
0 vs 4,0.5015552767308111,0.46117977319754144,0.6122551480236749,0.47774008771736354,0.4705291448881969,0.40334649025305463,0.3660938662063355,0.4601770015277893,0.43633382586229297,0.48591632229786297,0.4589326194762944,0.34389572228854015,0.4420392926402029,0.27735968431766633,0.44266816110197327
1 vs 2,0.5348637113603295,0.49666350074181176,0.618571274872175,0.47728280390960215,0.5129870051533233,0.4357885109445122,0.4162889919600553,0.4607141582981475,0.48007344116685285,0.48916730735282593,0.4830119611952344,0.3518190119962293,0.434469827215082,0.4497160896747567,0.47438697113149564
1 vs 3,0.5348618360455537,0.459618790680028,0.6053661489047005,0.45700298237524123,0.5058775956290602,0.4785890718403483,0.39585827241004357,0.4923058835803913,0.475342126041741,0.4728818612099885,0.46971716839271166,0.35655295092768463,0.4336566001512345,0.4876125811259523,0.47323170495104855
1 vs 4,0.5178587044793542,0.428197096484345,0.6157152875590487,0.43130376235139606,0.46088716510287586,0.3902102487319265,0.4104607833226301,0.4503471355219182,0.4521348745040037,0.491846945204408,0.456820820331306,0.3440112084390932,0.4379467809664068,0.30522198645823884,0.44235448567549657
2 vs 3,0.5288462046553252,0.49205666009161086,0.638946463380518,0.4912955308264715,0.4894400963670894,0.4527391110525324,0.391140716204383,0.48775500566811203,0.4948679305202374,0.5082445046972309,0.4984933877060145,0.36090269339116204,0.4407789343732814,0.4351199811093087,0.47933051571737695
2 vs 4,0.5183566763012358,0.4873147652413708,0.6300188629236355,0.4777210306075117,0.4519756234724525,0.39513369522725944,0.38764430415757906,0.4300767931871945,0.4658126826712746,0.5263338426986297,0.4652229823092474,0.35125332528154163,0.4290146215128618,0.3075599576417058,0.45167422594525003
3 vs 4,0.5310804599590857,0.4635517250703761,0.6308730475396275,0.4860858324540842,0.46626439433451555,0.4422094482964573,0.39292182762200023,0.486438589686992,0.4683468394177301,0.5114594980893329,0.4714241845805367,0.3697841747006213,0.43292715322509623,0.33532998492274596,0.46347836856422864
Mean,0.5233592232717597,0.468389137017524,0.6177714508690988,0.47488133332958915,0.4860574539440087,0.4305490720456415,0.3886422493401485,0.471289433601206,0.4651513612201942,0.4921255239232001,0.47533072046910485,0.34719056231981316,0.4351644700811744,0.37434889956035217,0.4607322064994868
